Title,BSR,Price in £ (starting from),Author,ASIN,ISBN-10,ISBN-13,URL
"Employment Covenants and Confidential Information: Law, Practice and Technique","428,458",128.91,Kate Brearley;Selwyn Bloch QC,1780432186, 9781780432182, 978-1780432182,https://www.amazon.co.uk/Employment-Covenants-Confidential-Information-Technique/dp/1780432186/ref=sr_1_601?s=books&ie=UTF8&qid=1540479095&sr=1-601&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Togo and the Rise of Japanese Sea Power,"552,372",111.15,Edwin A Falk,B00085D93M,Not available,Not available,https://www.amazon.co.uk/Togo-Rise-Japanese-Sea-Power/dp/B00085D93M/ref=sr_1_597?s=books&ie=UTF8&qid=1540479095&sr=1-597&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Miller's Anesthesia, 2-Volume Set, 8e","737,348",171.32,Ronald D. Miller MD  MS,0702052833, 0702052833, 978-0702052835,https://www.amazon.co.uk/Millers-Anesthesia-2-Set-8e/dp/0702052833/ref=sr_1_594?s=books&ie=UTF8&qid=1540479095&sr=1-594&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Sterility, Sterilisation and Sterility Assurance for Pharmaceuticals: Technology, Validation and Current Regulations (Woodhead Publishing Series in Biomedicine)","312,488",140.74,Tim Sandle,1907568387, 1907568387, 978-1907568381,https://www.amazon.co.uk/Sterility-Sterilisation-Assurance-Pharmaceuticals-Regulations/dp/1907568387/ref=sr_1_591?s=books&ie=UTF8&qid=1540479079&sr=1-591&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Culture of French Revolutionary Diplomacy: In the Face of Europe (Studies in Diplomacy and International Relations),"634,470","1,000.00",Linda Frey,3319717081, 9783319717081, 978-3319717081,https://www.amazon.co.uk/Culture-French-Revolutionary-Diplomacy-International/dp/3319717081/ref=sr_1_589?s=books&ie=UTF8&qid=1540479079&sr=1-589&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Mucosal Immunology,"697,908",194.52,Jiri Mestecky,0124158471, 0124158471, 978-0124158474,https://www.amazon.co.uk/Mucosal-Immunology-Jiri-Mestecky/dp/0124158471/ref=sr_1_588?s=books&ie=UTF8&qid=1540479079&sr=1-588&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Akan Weights and the Gold Trade (Legon history series),"582,093",186.00,Timothy F. Garrard,0582646316, 0582646316, 978-0582646315,https://www.amazon.co.uk/Akan-Weights-Trade-Legon-history/dp/0582646316/ref=sr_1_586?s=books&ie=UTF8&qid=1540479079&sr=1-586&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Design of Reinforced Concrete,"736,787",198.90,Jack C. McCormac,1118879104, 1118879104, 978-1118879108,https://www.amazon.co.uk/Design-Reinforced-Concrete-Jack-McCormac/dp/1118879104/ref=sr_1_585?s=books&ie=UTF8&qid=1540479079&sr=1-585&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Howard Hodgkin The Complete Paintings: Catalogue Raisonné: Catalogue Raisonnae (Catalogue Raisonne),"508,218",300.00,Marla Price,0500093296, 0500093296, 978-0500093290,https://www.amazon.co.uk/Howard-Hodgkin-Complete-Paintings-Catalogue/dp/0500093296/ref=sr_1_583?s=books&ie=UTF8&qid=1540479079&sr=1-583&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"The Politics of Sustainability in the Arctic: Reconfiguring Identity, Space, and Time (Routledge Studies in Sustainability)","615,447",142.79,Ulrik Pram Gad,1138491837, 1138491837, 978-1138491830,https://www.amazon.co.uk/Politics-Sustainability-Arctic-Reconfiguring-Routledge/dp/1138491837/ref=sr_1_580?s=books&ie=UTF8&qid=1540479079&sr=1-580&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
