Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
Approved Documents Reference Set,"690,951",176.06,dclg,Paperback,1859462162, 1859462162, 978-1859462164,https://www.amazon.co.uk/Approved-Documents-Reference-Set-dclg/dp/1859462162/ref=sr_1_958?s=books&ie=UTF8&qid=1540506209&sr=1-958&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Submarine Optical Cable Engineering,"887,655",162.74,Yin-can YE,Paperback,0128134755, 9780128134757, 978-0128134757,https://www.amazon.co.uk/Submarine-Optical-Cable-Engineering-Yin-can/dp/0128134755/ref=sr_1_952?s=books&ie=UTF8&qid=1540506209&sr=1-952&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Harry Potter-Box,"771,686",106.33,Joanne K. Rowling,Paperback,3551553491, 3551553491, 978-3551553492,https://www.amazon.co.uk/Harry-Potter-Box-Joanne-K-Rowling/dp/3551553491/ref=sr_1_936?s=books&ie=UTF8&qid=1540506190&sr=1-936&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Bangladesh Maritime History,"634,427",775.00,Ghulam M. Suhrawardi,Paperback,1460272781, 1460272781, 978-1460272787,https://www.amazon.co.uk/Bangladesh-Maritime-History-Ghulam-Suhrawardi/dp/1460272781/ref=sr_1_934?s=books&ie=UTF8&qid=1540506190&sr=1-934&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"2018-2019 Basic and Clinical Science Course (BCSC), Section 12: Retina and Vitreous","625,104",207.99,Colin A. McCannel (editor),Paperback,1681040387, 1681040387, 978-1681040387,https://www.amazon.co.uk/2018-2019-Clinical-Science-Course-Section/dp/1681040387/ref=sr_1_922?s=books&ie=UTF8&qid=1540506173&sr=1-922&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The Life of Charles and Marie-Laure de Noailles: Patrons of the Arts,"561,343",130.00,Bernard Chauveau,Paperback,236306206X, 236306206X, 978-2363062062,https://www.amazon.co.uk/Life-Charles-Marie-Laure-Noailles-Patrons/dp/236306206X/ref=sr_1_918?s=books&ie=UTF8&qid=1540506173&sr=1-918&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The Art of Watching Films,"430,690",129.37,Joe Boggs,Paperback,0073514284, 0073514284, 978-0073514284,https://www.amazon.co.uk/Art-Watching-Films-Joe-Boggs/dp/0073514284/ref=sr_1_913?s=books&ie=UTF8&qid=1540506173&sr=1-913&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The Art of Watching Films,"430,690",129.37,Joe Boggs,Paperback,0073514284, 0073514284, 978-0073514284,https://www.amazon.co.uk/Art-Watching-Films-Joe-Boggs/dp/0073514284/ref=sr_1_911?s=books&ie=UTF8&qid=1540506156&sr=1-911&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"X-guard: For Brazilian Jiu-jitsu, No Gi Grappling, and Mixed Martial Arts","528,388",191.53,Erich Krauss,Paperback,0977731502, 0977731502, 978-0977731503,https://www.amazon.co.uk/X-guard-Brazilian-Jiu-jitsu-Grappling-Martial/dp/0977731502/ref=sr_1_905?s=books&ie=UTF8&qid=1540506156&sr=1-905&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The Comprehension Box (Ages 9-10+),"721,672",303.34,RIC Publications,Paperback,1741268400, 1741268400, 978-1741268409,https://www.amazon.co.uk/Comprehension-Box-Ages-9-10/dp/1741268400/ref=sr_1_899?s=books&ie=UTF8&qid=1540506156&sr=1-899&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Princess Emma,"570,990",126.85,J. Hodgson,Paperback,0868520950, 0868520950, 978-0868520957,https://www.amazon.co.uk/Princess-Emma-J-Hodgson/dp/0868520950/ref=sr_1_885?s=books&ie=UTF8&qid=1540506140&sr=1-885&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Verwoed: Architect of Apartheid,"226,358",113.99,Henry Kenney,Paperback,1868427161, 1868427161, 978-1868427161,https://www.amazon.co.uk/Verwoed-Architect-Apartheid-Henry-Kenney/dp/1868427161/ref=sr_1_874?s=books&ie=UTF8&qid=1540506122&sr=1-874&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Constantine Porphyrogennetos - The Book of Ceremonies (Byzantina Australiensia),"672,779",133.45,Anne Moffatt,Paperback,1876503424, 1876503424, 978-1876503420,https://www.amazon.co.uk/Constantine-Porphyrogennetos-Ceremonies-Byzantina-Australiensia/dp/1876503424/ref=sr_1_865?s=books&ie=UTF8&qid=1540506122&sr=1-865&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Constantine Porphyrogennetos - The Book of Ceremonies (Byzantina Australiensia),"675,729",133.45,Anne Moffatt,Paperback,1876503424, 1876503424, 978-1876503420,https://www.amazon.co.uk/Constantine-Porphyrogennetos-Ceremonies-Byzantina-Australiensia/dp/1876503424/ref=sr_1_859?s=books&ie=UTF8&qid=1540506110&sr=1-859&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Poguetry: Illustrated Pogues Songbook: The Lyrics of Shane MacGowan,"406,812",117.20,Shane MacGowan,Paperback,0571141986, 0571141986, 978-0571141982,https://www.amazon.co.uk/Poguetry-Illustrated-Pogues-Songbook-MacGowan/dp/0571141986/ref=sr_1_853?s=books&ie=UTF8&qid=1540506110&sr=1-853&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The Boxcar Children 20-Book Set (Boxcar Children Mysteries),"628,449",132.40,Gertrude Chandler Warner,Paperback,0807508470, 9780807508473, 978-0807508473,https://www.amazon.co.uk/Boxcar-Children-20-Book-Set-Mysteries/dp/0807508470/ref=sr_1_849?s=books&ie=UTF8&qid=1540506110&sr=1-849&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Listening with All Our Senses: a Handbook: Establishing Communication with People on the Autistic Spectrum or Those with Profound Learning Disabilities and Sometimes Distressed Behaviour,"709,327",595.99,Phoebe Caldwell,Paperback,1908993006, 1908993006, 978-1908993007,https://www.amazon.co.uk/Listening-All-Our-Senses-Communication/dp/1908993006/ref=sr_1_843?s=books&ie=UTF8&qid=1540506091&sr=1-843&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Lectures on Tungs Acupuncture: Points Study,"631,262",110.92,Wei Chieh Young,Paperback,0977902641, 0977902641, 978-0977902644,https://www.amazon.co.uk/Lectures-Tungs-Acupuncture-Points-Study/dp/0977902641/ref=sr_1_818?s=books&ie=UTF8&qid=1540506077&sr=1-818&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Informal Education: Conversation, democracy and learning","313,944",133.39,Tony Jeffs,Paperback,1900219298, 1900219298, 978-1900219297,https://www.amazon.co.uk/Informal-Education-Conversation-democracy-learning/dp/1900219298/ref=sr_1_814?s=books&ie=UTF8&qid=1540506059&sr=1-814&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Law Library Benchmarks 2016-17 Edition,"862,915",210.85,Primary Research Group Staff,Paperback,1574404059, 1574404059, 978-1574404050,https://www.amazon.co.uk/Library-Benchmarks-2016-17-Primary-Research/dp/1574404059/ref=sr_1_808?s=books&ie=UTF8&qid=1540506059&sr=1-808&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Consumer Behavior (Mindtap Course List),"579,263",119.05,Deborah J. MacInnis,Paperback,1305507274, 9.78131E+12, 978-1305507272,https://www.amazon.co.uk/Consumer-Behavior-Mindtap-Course-List/dp/1305507274/ref=sr_1_807?s=books&ie=UTF8&qid=1540506059&sr=1-807&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Visual Constructs of Jerusalem (Cultural Encounters in Late Antiquity and the Middle Ages),"699,988",167.70,Bianca Kuhnel,Paperback,2503551041, 2503551041, 978-2503551043,https://www.amazon.co.uk/Constructs-Jerusalem-Cultural-Encounters-Antiquity/dp/2503551041/ref=sr_1_805?s=books&ie=UTF8&qid=1540506059&sr=1-805&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Handbook of Medical Photography,"691,442",191.71,Lawrence B. Stack MD,Paperback,1560532130, 1560532130, 978-1560532132,https://www.amazon.co.uk/Handbook-Medical-Photography-Lawrence-Stack/dp/1560532130/ref=sr_1_802?s=books&ie=UTF8&qid=1540506059&sr=1-802&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Guidelines for the Blood Transfusion Services in the United Kingdom: The Red Book by National Blood Service (2013-03-11),"776,682",116.90,National Blood Service,Paperback,B01K2DVOG8,Not available,Not available,https://www.amazon.co.uk/Guidelines-Transfusion-Services-United-Kingdom/dp/B01K2DVOG8/ref=sr_1_791?s=books&ie=UTF8&qid=1540506040&sr=1-791&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Studies in Medieval Legal Thought: Public Law and the State 1100-1322 (Princeton Legacy Library),"775,160",134.95,Gaines Post,Paperback,0691625107, 0691625107, 978-0691625102,https://www.amazon.co.uk/Studies-Medieval-Legal-Thought-1100-1322/dp/0691625107/ref=sr_1_785?s=books&ie=UTF8&qid=1540506040&sr=1-785&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Guidelines for the Blood Transfusion Services in the United Kingdom: The Red Book by National Blood Service (2013-03-11),"776,682",116.90,National Blood Service,Paperback,B01K2DVOG8,Not available,Not available,https://www.amazon.co.uk/Guidelines-Transfusion-Services-United-Kingdom/dp/B01K2DVOG8/ref=sr_1_783?s=books&ie=UTF8&qid=1540506025&sr=1-783&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Studies in Medieval Legal Thought: Public Law and the State 1100-1322 (Princeton Legacy Library),"775,160",134.95,Gaines Post,Paperback,0691625107, 0691625107, 978-0691625102,https://www.amazon.co.uk/Studies-Medieval-Legal-Thought-1100-1322/dp/0691625107/ref=sr_1_777?s=books&ie=UTF8&qid=1540506025&sr=1-777&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Financial Markets and Corporate Strategy,"449,373",100.00,David Hillier,Paperback,0077119029, 0077119029, 978-0077119027,https://www.amazon.co.uk/Financial-Markets-Corporate-Strategy-Hillier/dp/0077119029/ref=sr_1_775?s=books&ie=UTF8&qid=1540506025&sr=1-775&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Handbook of Cerebrovascular Disease and Neurointerventional Technique (Contemporary Medical Imaging),"411,941",139.76,Mark R. Harrigan,Paperback,3319667777, 3319667777, 978-3319667775,https://www.amazon.co.uk/Handbook-Cerebrovascular-Neurointerventional-Technique-Contemporary/dp/3319667777/ref=sr_1_772?s=books&ie=UTF8&qid=1540506025&sr=1-772&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Article 3 of the European Convention on Human Rights: A Practitioner's Handbook (OMCT Handbook),"588,407",505.99,Ugur Erdal,Paperback,2884771107, 2884771107, 978-2884771108,https://www.amazon.co.uk/European-Convention-Human-Rights-Practitioners/dp/2884771107/ref=sr_1_769?s=books&ie=UTF8&qid=1540506025&sr=1-769&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Handbook of Cerebrovascular Disease and Neurointerventional Technique (Contemporary Medical Imaging),"411,941",139.76,Mark R. Harrigan,Paperback,3319667777, 3319667777, 978-3319667775,https://www.amazon.co.uk/Handbook-Cerebrovascular-Neurointerventional-Technique-Contemporary/dp/3319667777/ref=sr_1_767?s=books&ie=UTF8&qid=1540506010&sr=1-767&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Fundamentals of Ocean Renewable Energy: Generating Electricity from the Sea (E-Business Solutions),"741,928",139.53,Simon P. Neill,Paperback,0128104481, 0128104481, 978-0128104484,https://www.amazon.co.uk/Fundamentals-Ocean-Renewable-Energy-Business/dp/0128104481/ref=sr_1_762?s=books&ie=UTF8&qid=1540506010&sr=1-762&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Core Competencies Made Even Easier by Brian M Stratton ADI (2010-01-01),"785,248",354.95,No Author Specified!!,Paperback,B017MYTN68,Not available,Not available,https://www.amazon.co.uk/Competencies-Easier-Brian-Stratton-2010-01-01/dp/B017MYTN68/ref=sr_1_759?s=books&ie=UTF8&qid=1540506010&sr=1-759&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Handbook of Immunoassay Technologies: Approaches, Performances, and Applications","770,269",106.38,Sandeep K. Vashist Dr.,Paperback,0128117621, 9780128117620, 978-0128117620,https://www.amazon.co.uk/Handbook-Immunoassay-Technologies-Performances-Applications/dp/0128117621/ref=sr_1_758?s=books&ie=UTF8&qid=1540506010&sr=1-758&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
CRAFTING AND EXECUTING STRATEGY: CONCEPTS,"850,564",147.19,A. Strickland Iii,Paperback,1259899691, 1259899691, 978-1259899690,https://www.amazon.co.uk/CRAFTING-EXECUTING-STRATEGY-Strickland-Iii/dp/1259899691/ref=sr_1_755?s=books&ie=UTF8&qid=1540506010&sr=1-755&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
By D. Geraint Lewis Pa Arddodiad: A Check-list of Welsh Prepositions (Bilingual edition),"637,187",122.20,D. Geraint Lewis,Paperback,B00NBD148U,Not available,Not available,https://www.amazon.co.uk/Geraint-Lewis-Arddodiad-Check-list-Prepositions/dp/B00NBD148U/ref=sr_1_745?s=books&ie=UTF8&qid=1540505993&sr=1-745&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Making Every Photon Count,"717,655",141.00,S Richards,Paperback,B00J5PL6JK,Not available,Not available,https://www.amazon.co.uk/Making-Every-Photon-Count-Richards/dp/B00J5PL6JK/ref=sr_1_743?s=books&ie=UTF8&qid=1540505993&sr=1-743&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Prickly Hay,"399,914",310.99,Mary Cliff,Paperback,1906988307, 1906988307, 978-1906988302,https://www.amazon.co.uk/Prickly-Hay-Mary-Cliff/dp/1906988307/ref=sr_1_738?s=books&ie=UTF8&qid=1540505993&sr=1-738&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
By D. Geraint Lewis Pa Arddodiad: A Check-list of Welsh Prepositions (Bilingual edition),"637,187",122.20,D. Geraint Lewis,Paperback,B00NBD148U,Not available,Not available,https://www.amazon.co.uk/Geraint-Lewis-Arddodiad-Check-list-Prepositions/dp/B00NBD148U/ref=sr_1_732?s=books&ie=UTF8&qid=1540505977&sr=1-732&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Making Every Photon Count,"717,655",141.00,S Richards,Paperback,B00J5PL6JK,Not available,Not available,https://www.amazon.co.uk/Making-Every-Photon-Count-Richards/dp/B00J5PL6JK/ref=sr_1_730?s=books&ie=UTF8&qid=1540505977&sr=1-730&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Prickly Hay,"399,914",310.99,Mary Cliff,Paperback,1906988307, 1906988307, 978-1906988302,https://www.amazon.co.uk/Prickly-Hay-Mary-Cliff/dp/1906988307/ref=sr_1_725?s=books&ie=UTF8&qid=1540505977&sr=1-725&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Das erzählerische Werk: in 9 Bänden,"801,622",191.92,Heimito von Doderer,Paperback,3406699006, 9783406699009, 978-3406699009,https://www.amazon.co.uk/Das-erz%C3%A4hlerische-Werk-9-B%C3%A4nden/dp/3406699006/ref=sr_1_718?s=books&ie=UTF8&qid=1540505960&sr=1-718&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Typography Papers: v. 6,"944,167",249.99,Paul Stiff,Paperback,0907259294, 0907259294, 978-0907259299,https://www.amazon.co.uk/Typography-Papers-v-Paul-Stiff/dp/0907259294/ref=sr_1_703?s=books&ie=UTF8&qid=1540505940&sr=1-703&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Special Relativity, Electrodynamics, and General Relativity: From Newton to Einstein","446,864",142.09,John B. Kogut,Paperback,0128137207, 0128137207, 978-0128137208,https://www.amazon.co.uk/Special-Relativity-Electrodynamics-General-Einstein/dp/0128137207/ref=sr_1_698?s=books&ie=UTF8&qid=1540505940&sr=1-698&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Managing a Consumer Lending Business, 2nd edition","564,784",104.13,David Lawrence,Paperback,0971753733, 0971753733, 978-0971753730,https://www.amazon.co.uk/Managing-Consumer-Lending-Business-2nd/dp/0971753733/ref=sr_1_696?s=books&ie=UTF8&qid=1540505940&sr=1-696&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
GILES ( annual no.1 1st series original 1946 ),"323,463",200.00,daily express & sunday express cartoons,Paperback,B002ZI00FK,Not available,Not available,https://www.amazon.co.uk/GILES-annual-no-1-original-1946/dp/B002ZI00FK/ref=sr_1_695?s=books&ie=UTF8&qid=1540505940&sr=1-695&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
A Weymouth Childhood in the 1950s by Edward Page (2010-03-18),"498,568",192.26,No Author Specified!!,Paperback,B017PO07XS,Not available,Not available,https://www.amazon.co.uk/Weymouth-Childhood-1950s-Edward-2010-03-18/dp/B017PO07XS/ref=sr_1_690?s=books&ie=UTF8&qid=1540505940&sr=1-690&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Commercial Law Handbook,"603,158",138.97,David Berry,Paperback,178446113X, 178446113X, 978-1784461133,https://www.amazon.co.uk/Commercial-Law-Handbook-David-Berry/dp/178446113X/ref=sr_1_685?s=books&ie=UTF8&qid=1540505921&sr=1-685&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"French XX Bibliography, Issue 68: 14","714,655",120.91,Alisa Belanger (editor),Paperback,1575912104, 1575912104, 978-1575912103,https://www.amazon.co.uk/French-XX-Bibliography-Issue-68/dp/1575912104/ref=sr_1_682?s=books&ie=UTF8&qid=1540505921&sr=1-682&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Unstuck & On Target!,"370,339",108.22,"Wende Stever (author), Katie Alexander (author), Monica Alder Wener (author) & Laura Gutermuth Anthony (author) Lynn Cannon (author)",Paperback,1681252996, 1681252996, 978-1681252995,https://www.amazon.co.uk/Unstuck-Target-Alexander-Gutermuth-Anthony/dp/1681252996/ref=sr_1_681?s=books&ie=UTF8&qid=1540505921&sr=1-681&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"The Secular Priesthood in England and Wales: History, Mission and Identity","571,427",184.99,Judith Champ,Paperback,0993399118, 0993399118, 978-0993399114,https://www.amazon.co.uk/Secular-Priesthood-England-Wales-Identity/dp/0993399118/ref=sr_1_675?s=books&ie=UTF8&qid=1540505921&sr=1-675&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Contemporary Sport Management 6th Edition with Web Study Guide,"242,744",101.51,Paul Pedersen,Paperback,1492550957, 1492550957, 978-1492550952,https://www.amazon.co.uk/Contemporary-Sport-Management-Study-Guide/dp/1492550957/ref=sr_1_674?s=books&ie=UTF8&qid=1540505921&sr=1-674&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"The Secular Priesthood in England and Wales: History, Mission and Identity","571,427",184.99,Judith Champ,Paperback,0993399118, 0993399118, 978-0993399114,https://www.amazon.co.uk/Secular-Priesthood-England-Wales-Identity/dp/0993399118/ref=sr_1_667?s=books&ie=UTF8&qid=1540505904&sr=1-667&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Contemporary Sport Management 6th Edition with Web Study Guide,"242,744",101.51,Paul Pedersen,Paperback,1492550957, 1492550957, 978-1492550952,https://www.amazon.co.uk/Contemporary-Sport-Management-Study-Guide/dp/1492550957/ref=sr_1_666?s=books&ie=UTF8&qid=1540505904&sr=1-666&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Homelessness in the UK: Problems and Solutions,"554,649",278.99,Suzanne Fitzpatrick,Paperback,1905018673, 1905018673, 978-1905018673,https://www.amazon.co.uk/Homelessness-UK-Solutions-Suzanne-Fitzpatrick/dp/1905018673/ref=sr_1_664?s=books&ie=UTF8&qid=1540505904&sr=1-664&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The Vendor Compliance Handbook,"608,727",114.95,David Secul,Paperback,0974101141, 0974101141, 978-0974101149,https://www.amazon.co.uk/Vendor-Compliance-Handbook-David-Secul/dp/0974101141/ref=sr_1_660?s=books&ie=UTF8&qid=1540505904&sr=1-660&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Let's Get Things Moving: Overcoming Constipation (Robinson Family Health S.),"486,937",109.94,Sue Markwell,Paperback,185487389X, 185487389X, 978-1854873897,https://www.amazon.co.uk/Lets-Get-Things-Moving-Constipation/dp/185487389X/ref=sr_1_654?s=books&ie=UTF8&qid=1540505891&sr=1-654&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The Mind and Heart of the Negotiator: Volume 6,"302,972",104.76,Leigh Thompson,Paperback,0133571777, 9780133571776, 978-0133571776,https://www.amazon.co.uk/Mind-Heart-Negotiator-6/dp/0133571777/ref=sr_1_643?s=books&ie=UTF8&qid=1540505891&sr=1-643&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The Sounds of the Cities: 'Nearly Famous': Nearly Famous - The Rock Music Scene in Hull and the East Riding During the Swingin' Sixties,"771,825",387.75,Ray Moody,Paperback,0954179307, 0954179307, 978-0954179304,https://www.amazon.co.uk/Sounds-Cities-Nearly-Swingin-Sixties/dp/0954179307/ref=sr_1_638?s=books&ie=UTF8&qid=1540505872&sr=1-638&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The Balkans at War: Yugoslavia Divided 1991 (Firepower Pictorials Special S.),"554,382",115.33,Eric Micheletti,Paperback,9623619103, 9623619103, 978-9623619103,https://www.amazon.co.uk/Balkans-War-Yugoslavia-Firepower-Pictorials/dp/9623619103/ref=sr_1_625?s=books&ie=UTF8&qid=1540505872&sr=1-625&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Access to Qur'anic Arabic: Selections,"526,969",169.57,Abdul Wahid Hamid,Paperback,0948196173, 0948196173, 978-0948196171,https://www.amazon.co.uk/Access-Quranic-Arabic-Abdul-Wahid/dp/0948196173/ref=sr_1_623?s=books&ie=UTF8&qid=1540505860&sr=1-623&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
AQA Business for A Level (Marcousé) Answer Guide,"539,145",158.98,Ian Marcouse,Paperback,1471835642, 1471835642, 978-1471835643,https://www.amazon.co.uk/Business-Level-Marcous%C3%A9-Answer-Guide/dp/1471835642/ref=sr_1_619?s=books&ie=UTF8&qid=1540505860&sr=1-619&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Bundle: Visible Learning + Visible Learning for Teachers,"784,249",100.77,John Hattie,Paperback,1506304427, 1506304427, 978-1506304427,https://www.amazon.co.uk/Bundle-Visible-Learning-Teachers/dp/1506304427/ref=sr_1_617?s=books&ie=UTF8&qid=1540505860&sr=1-617&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Fundamentals of Aluminium Metallurgy: Recent Advances (Woodhead Publishing Series in Metals and Surface Engineering),"578,952",266.15,Roger Lumley,Paperback,0081020635, 0081020635, 978-0081020630,https://www.amazon.co.uk/Fundamentals-Aluminium-Metallurgy-Publishing-Engineering/dp/0081020635/ref=sr_1_609?s=books&ie=UTF8&qid=1540505860&sr=1-609&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Personal Injury Schedules: Calculating Damages,"277,136",114.79,William Latimer-Sayer,Paperback,1784517267, 1784517267, 978-1784517267,https://www.amazon.co.uk/Personal-Injury-Schedules-Calculating-Damages/dp/1784517267/ref=sr_1_604?s=books&ie=UTF8&qid=1540505842&sr=1-604&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Sports in Society: Issues and Controversies,"596,864",114.19,Jay Coakley,Paperback,0073523542, 0073523542, 978-0073523545,https://www.amazon.co.uk/Sports-Society-Controversies-Jay-Coakley/dp/0073523542/ref=sr_1_597?s=books&ie=UTF8&qid=1540505842&sr=1-597&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The New Jackals: Osama Bin Laden and the Future of Terrorism by Simon Reeve (2001-10-01),"314,535",314.53,No Author Specified!!,Paperback,B01FKT5KMI,Not available,Not available,https://www.amazon.co.uk/New-Jackals-Future-Terrorism-2001-10-01/dp/B01FKT5KMI/ref=sr_1_583?s=books&ie=UTF8&qid=1540505826&sr=1-583&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Generalized van der Waals Theory of Molecular Fluids in Bulk and at Surfaces,"805,112",154.69,Sture Nordholm,Paperback,0128111364, 0128111364, 978-0128111369,https://www.amazon.co.uk/Generalized-Theory-Molecular-Fluids-Surfaces/dp/0128111364/ref=sr_1_578?s=books&ie=UTF8&qid=1540505826&sr=1-578&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Generalized van der Waals Theory of Molecular Fluids in Bulk and at Surfaces,"805,112",154.69,Sture Nordholm,Paperback,0128111364, 0128111364, 978-0128111369,https://www.amazon.co.uk/Generalized-Theory-Molecular-Fluids-Surfaces/dp/0128111364/ref=sr_1_575?s=books&ie=UTF8&qid=1540505809&sr=1-575&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Clinical Manual and Review of Transesophageal Echocardiography, Second Edition","464,495",104.16,Joseph Mathew,Paperback,0071638075, 0071638075, 978-0071638074,https://www.amazon.co.uk/Clinical-Manual-Review-Transesophageal-Echocardiography/dp/0071638075/ref=sr_1_570?s=books&ie=UTF8&qid=1540505809&sr=1-570&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Energy Markets,"348,084",129.75,Vincent Kaminski,Paperback,1906348790, 1906348790, 978-1906348793,https://www.amazon.co.uk/Energy-Markets-Vincent-Kaminski/dp/1906348790/ref=sr_1_568?s=books&ie=UTF8&qid=1540505809&sr=1-568&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Nutrient Requirements of Domesticated Ruminants,"667,481",193.72,Primary Industries Standing Committee,Paperback,0643092625, 0643092625, 978-0643092624,https://www.amazon.co.uk/Requirements-Domesticated-Ruminants-Industries-Committee/dp/0643092625/ref=sr_1_565?s=books&ie=UTF8&qid=1540505809&sr=1-565&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Barragan: The Complete Works,"717,208",225.00,Raul Rispa,Paperback,050027889X, 050027889X, 978-0500278895,https://www.amazon.co.uk/Barragan-Complete-Works-Raul-Rispa/dp/050027889X/ref=sr_1_547?s=books&ie=UTF8&qid=1540505791&sr=1-547&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Industrial Organization: A Strategic Approach (Management & Organizations),"456,546",147.19,Jeffrey R. Church,Paperback,0071166459, 0071166459, 978-0071166454,https://www.amazon.co.uk/Industrial-Organization-Strategic-Management-Organizations/dp/0071166459/ref=sr_1_539?s=books&ie=UTF8&qid=1540505772&sr=1-539&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
