Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL,
"Complete Transcriptions, Cadenzas and Exercises for Solo Piano","1,576,995",899.99,Johannes Brahms,Paperback,B0078L5XCO,486226522,978-0486226521,https://www.amazon.co.uk/Complete-Transcriptions-Cadenzas-Exercises-Piano/dp/B0078L5XCO/ref=sr_1_962?s=books&ie=UTF8&qid=1540737342&sr=1-962&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Nicholas on Holiday,"671,877",925.27,Rene Goscinny,Paperback,714862231,714862231,978-0714862231,https://www.amazon.co.uk/Nicholas-Holiday-Rene-Goscinny/dp/0714862231/ref=sr_1_955?s=books&ie=UTF8&qid=1540737326&sr=1-955&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Teach Yourself Maltese (TYL),"1,389,409",820.83,J Aquilina,Paperback,340627476,340627476,978-0340627471,https://www.amazon.co.uk/Teach-Yourself-Maltese-TYL-Aquilina/dp/0340627476/ref=sr_1_952?s=books&ie=UTF8&qid=1540737326&sr=1-952&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Memoirs. Ten Years And Twenty Days.,"1,495,912",955.29,Karl Dönitz,Paperback,B000NR679I,Not available,Not available,https://www.amazon.co.uk/Memoirs-Ten-Years-Twenty-Days/dp/B000NR679I/ref=sr_1_947?s=books&ie=UTF8&qid=1540737326&sr=1-947&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Complete Poems,"1,363,940",815.95,William Henry Davies,Paperback,1143910443,1143910443,978-1143910449,https://www.amazon.co.uk/Complete-Poems-William-Henry-Davies/dp/1143910443/ref=sr_1_936?s=books&ie=UTF8&qid=1540737311&sr=1-936&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Fiddle Fancies for Cello and Piano,"1,742,912",984.85,Adam (arr Max) Carse,Paperback,B003VSTXX8,Not available,Not available,https://www.amazon.co.uk/Fiddle-Fancies-Cello-Piano-Carse/dp/B003VSTXX8/ref=sr_1_911?s=books&ie=UTF8&qid=1540737277&sr=1-911&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Sam Lloyd Mr Pusskins 2 Books Collection Pack Set RRP: £9.98 (Mr.Pusskins Numbers, Mr.Pusskins Colours)","1,446,112",790.85,Sam Lloyd,Paperback,B008LTMTH4,Not available,Not available,https://www.amazon.co.uk/Lloyd-Pusskins-Books-Collection-Pack/dp/B008LTMTH4/ref=sr_1_910?s=books&ie=UTF8&qid=1540737277&sr=1-910&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
L'automne arrive,"1,041,018",906.19,Francesco Altan,Paperback,2211064787,2211064787,978-2211064781,https://www.amazon.co.uk/Lautomne-arrive-Francesco-Altan/dp/2211064787/ref=sr_1_862?s=books&ie=UTF8&qid=1540737228&sr=1-862&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
I NEED A NEW BUM,"924,043",855.51,DAWN MCMILLAN,Paperback,1877514438,1877514438,978-1877514432,https://www.amazon.co.uk/NEED-NEW-BUM-DAWN-MCMILLAN/dp/1877514438/ref=sr_1_854?s=books&ie=UTF8&qid=1540737228&sr=1-854&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Stanley Gibbons Stamp Catalogue: Brunei, Malaysia and Singapore","1,585,360",926.11,No Author Specified!!,Paperback,852597347,852597347,978-0852597347,https://www.amazon.co.uk/Stanley-Gibbons-Stamp-Catalogue-Singapore/dp/0852597347/ref=sr_1_851?s=books&ie=UTF8&qid=1540737228&sr=1-851&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
