Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
Back Door to War: The Roosevelt Foreign Policy 1933-1941,"2,996,815","2,441.99",Charles Callan Tansill,Paperback,1300831235, 1300831235, 978-1300831235,https://www.amazon.co.uk/Back-Door-War-Roosevelt-1933-1941/dp/1300831235/ref=sr_1_221?s=books&ie=UTF8&qid=1540557837&sr=1-221&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
The Picnic and Suchlike Pandemonium (Bello),"2,737,337","2,273.74",Gerald Durrell,Paperback,144721417X, 144721417X, 978-1447214175,https://www.amazon.co.uk/Picnic-Suchlike-Pandemonium-Bello/dp/144721417X/ref=sr_1_218?s=books&ie=UTF8&qid=1540557837&sr=1-218&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Inglés: El Secreto Para Hablar Inglés Como Un Nativo En 6 Meses Para Personas Con Poco Tiempo,"2,850,528","2,499.99",Ken Xiao,Paperback,1535185163, 1535185163, 978-1535185165,https://www.amazon.co.uk/Ingl%C3%A9s-Secreto-Hablar-Nativo-Personas/dp/1535185163/ref=sr_1_217?s=books&ie=UTF8&qid=1540557837&sr=1-217&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
"When Love Hurts: How To Handle Verbal Abuse, Codependency and Emotional Blackmailing","2,811,049","2,000.00",Michelle Moore,Paperback,1544924127, 1544924127, 978-1544924120,https://www.amazon.co.uk/When-Love-Hurts-Codependency-Blackmailing/dp/1544924127/ref=sr_1_216?s=books&ie=UTF8&qid=1540557837&sr=1-216&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
The Logstash Book,"2,259,639","2,413.99",James Turnbull,Paperback,0988820226, 0988820226, 978-0988820227,https://www.amazon.co.uk/Logstash-Book-James-Turnbull/dp/0988820226/ref=sr_1_209?s=books&ie=UTF8&qid=1540557837&sr=1-209&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Spent Shell Casings: 25 (and 5) Stories,"2,086,030","2,952.99",David Rose,Paperback,1619844583, 1619844583, 978-1619844582,https://www.amazon.co.uk/Spent-Shell-Casings-25-Stories/dp/1619844583/ref=sr_1_207?s=books&ie=UTF8&qid=1540557820&sr=1-207&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
The Green Man Tree Oracle: Ancient Wisdom from the Green Wood,"1,840,078","2,020.99",John Matthews,Paperback,1859061346, 1859061346, 978-1859061343,https://www.amazon.co.uk/Green-Man-Tree-Oracle-Ancient/dp/1859061346/ref=sr_1_203?s=books&ie=UTF8&qid=1540557820&sr=1-203&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
[The Vanishing] [by: Tim Krabbe],"1,848,586","2,000.00",Tim Krabbe,Paperback,B00AA2YJKU,Not available,Not available,https://www.amazon.co.uk/Vanishing-Tim-Krabbe/dp/B00AA2YJKU/ref=sr_1_202?s=books&ie=UTF8&qid=1540557820&sr=1-202&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Body Sculpting Exercises for Women Over 40: Volume 5 (Fit Expert Series),"1,513,306","2,152.99",Andy Charalambous,Paperback,1515026671, 1515026671, 978-1515026679,https://www.amazon.co.uk/Body-Sculpting-Exercises-Women-Over/dp/1515026671/ref=sr_1_198?s=books&ie=UTF8&qid=1540557820&sr=1-198&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
The Managers Guide to Understanding Effective Contract Evaluation (Managers Guides) (Commercial Contracts for Managers),"1,673,621","2,000.00",Frank Adoranti,Paperback,0852977735, 0852977735, 978-0852977736,https://www.amazon.co.uk/Understanding-Effective-Evaluation-Commercial-Contracts/dp/0852977735/ref=sr_1_183?s=books&ie=UTF8&qid=1540557803&sr=1-183&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
