Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
By Anne McIntyre Herbs for Common Ailments (Common Ailments Series),"6,170,720","2,000.00",Anne McIntyre,Paperback,B00NBFKV78,Not available,Not available,https://www.amazon.co.uk/Anne-McIntyre-Herbs-Common-Ailments/dp/B00NBFKV78/ref=sr_1_717?s=books&ie=UTF8&qid=1540748513&sr=1-717&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"[(An Introduction to Applied Cognitive Psychology)] [ By (author) Anthony Esgate, By (author) Corriene Reed, By (author) Moira Maguire, By (author) Richard Kemp, By (author) David Heathcote, By (author) Kevin Baker, By (author) David Groome ] [January, 2005]","7,741,869","2,000.00",Anthony Esgate,Paperback,B00QCMLLIK,Not available,Not available,https://www.amazon.co.uk/Introduction-Cognitive-Psychology-Corriene-Heathcote/dp/B00QCMLLIK/ref=sr_1_698?s=books&ie=UTF8&qid=1540748497&sr=1-698&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"[(Skilful Means: Patterns of Success)] [Author: Tarthang Talka] published on (December, 1991)","7,265,667","2,000.00",No Author Specified!!,Paperback,B00XX7XGY4,Not available,Not available,https://www.amazon.co.uk/Skilful-Means-Patterns-Tarthang-published/dp/B00XX7XGY4/ref=sr_1_677?s=books&ie=UTF8&qid=1540748479&sr=1-677&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Fisher and Lightwood's Law of Mortgage,"2,627,796","2,433.99",Paul Morgan,Paperback,1405748079,1405748079,978-1405748070,https://www.amazon.co.uk/Fisher-Lightwoods-Mortgage-Paul-Morgan/dp/1405748079/ref=sr_1_459?s=books&ie=UTF8&qid=1540748248&sr=1-459&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Medifocus Guidebook on: Atrial Fibrillation,"2,759,688","2,236.99",Inc. Medifocus.com,Paperback,1499710038,1499710038,978-1499710038,https://www.amazon.co.uk/Medifocus-Guidebook-Fibrillation-Inc-Medifocus-com/dp/1499710038/ref=sr_1_456?s=books&ie=UTF8&qid=1540748248&sr=1-456&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
My Year With Meryl Streep: 52 Films in 52 Weeks,"3,092,384","2,196.99",Brian Rowe,Paperback,1507781644,1507781644,978-1507781647,https://www.amazon.co.uk/My-Year-Meryl-Streep-Films/dp/1507781644/ref=sr_1_455?s=books&ie=UTF8&qid=1540748248&sr=1-455&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"Ecommerce: The Ultimate Guide to Making Money Selling Products Online (make money online, ecommerce, amazon fba)","3,048,083","2,000.00",Raman Shahi,Paperback,1534890815,1534890815,978-1534890817,https://www.amazon.co.uk/Ecommerce-Ultimate-Selling-Products-ecommerce/dp/1534890815/ref=sr_1_454?s=books&ie=UTF8&qid=1540748248&sr=1-454&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Willie the Windmill,"3,054,942","2,000.00",Lonnie Rogers & Melody Wynne,Paperback,1606049984,1606049984,978-1606049983,https://www.amazon.co.uk/Willie-Windmill-Lonnie-Rogers-Melody/dp/1606049984/ref=sr_1_452?s=books&ie=UTF8&qid=1540748248&sr=1-452&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"Financial Modelling for Project Finance, 2nd Edition","2,834,147","2,420.99",Penny Lynch,Paperback,1843745488,1843745488,978-1843745488,https://www.amazon.co.uk/Financial-Modelling-Project-Finance-2nd/dp/1843745488/ref=sr_1_450?s=books&ie=UTF8&qid=1540748248&sr=1-450&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
The New Reaction,"3,124,110","2,000.00",Rachel Haywire,Paperback,191052428X,191052428X,978-1910524282,https://www.amazon.co.uk/New-Reaction-Rachel-Haywire/dp/191052428X/ref=sr_1_447?s=books&ie=UTF8&qid=1540748230&sr=1-447&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
