Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
Song of the Flea,"4,131,850","1,000.00",M.P. Moussorgsky,Paperback,B00JXMELPG,Not available,Not available,https://www.amazon.co.uk/Song-Flea-M-P-Moussorgsky/dp/B00JXMELPG/ref=sr_1_71?s=books&ie=UTF8&qid=1540596104&sr=1-71&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Clean Air: Law and Practice,"4,109,568","1,000.00",J. F. Garner,Paperback,072190680X, 072190680X, 978-0721906805,https://www.amazon.co.uk/Clean-Air-Practice-J-Garner/dp/072190680X/ref=sr_1_69?s=books&ie=UTF8&qid=1540596104&sr=1-69&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Constructing Deafness: Social Construction of Deafness: Deaf People as a Minority Group - The Political Process (Course D251: Issues in Deafness),"3,175,267","1,000.00",T. Dant,Paperback,0749200545, 0749200545, 978-0749200541,https://www.amazon.co.uk/Constructing-Deafness-Construction-Minority-Political/dp/0749200545/ref=sr_1_68?s=books&ie=UTF8&qid=1540596104&sr=1-68&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
LA VIE A PARIS SOUS L'OCCUPATION 1940-1944.,"4,070,293","1,000.00",Gerald. Walter,Paperback,B00HHZSF6M,Not available,Not available,https://www.amazon.co.uk/VIE-PARIS-SOUS-LOCCUPATION-1940-1944/dp/B00HHZSF6M/ref=sr_1_67?s=books&ie=UTF8&qid=1540596104&sr=1-67&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Hiking Trails of South Africa,"1,746,947","1,000.00",Willie Olivier,Paperback,1770078894, 1770078894, 978-1770078895,https://www.amazon.co.uk/Hiking-Trails-Africa-Willie-Olivier/dp/1770078894/ref=sr_1_66?s=books&ie=UTF8&qid=1540596104&sr=1-66&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Normandy Landings (London gazette),"4,064,704","1,000.00",Bernard Law Montgomery of Alamein,Paperback,0117016683, 0117016683, 978-0117016682,https://www.amazon.co.uk/Normandy-Landings-gazette-Bernard-Montgomery/dp/0117016683/ref=sr_1_63?s=books&ie=UTF8&qid=1540596084&sr=1-63&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
John MacNab.,"3,655,363","1,000.00",J Buchan,Paperback,B00A4CBJRW,Not available,Not available,https://www.amazon.co.uk/John-MacNab-J-Buchan/dp/B00A4CBJRW/ref=sr_1_60?s=books&ie=UTF8&qid=1540596084&sr=1-60&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Mudhook Machine Gunner,"1,932,573",999.00,D.J. Polley,Paperback,0946995796, 0946995796, 978-0946995790,https://www.amazon.co.uk/Mudhook-Machine-Gunner-D-J-Polley/dp/0946995796/ref=sr_1_59?s=books&ie=UTF8&qid=1540596084&sr=1-59&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Loom of Life (Humanist Library),"4,023,462","1,000.00",Rona Hurst,Paperback,0301160090, 0301160090, 978-0301160092,https://www.amazon.co.uk/Loom-Life-Humanist-Library-Hurst/dp/0301160090/ref=sr_1_57?s=books&ie=UTF8&qid=1540596084&sr=1-57&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
The Beauty of Stone: The Westminster Cathedral Marbles,"2,634,087","1,000.00",Patrick Rogers,Paperback,0956021107, 0956021107, 978-0956021106,https://www.amazon.co.uk/Beauty-Stone-Westminster-Cathedral-Marbles/dp/0956021107/ref=sr_1_55?s=books&ie=UTF8&qid=1540596084&sr=1-55&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Social Research Methods: Qualitative and Quantitative Approaches,"3,262,928",999.99,W. Lawrence Neuman,Paperback,0205265618, 0205265618, 978-0205265619,https://www.amazon.co.uk/Social-Research-Methods-Qualitative-Quantitative/dp/0205265618/ref=sr_1_54?s=books&ie=UTF8&qid=1540596084&sr=1-54&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Asian After Work,"1,958,354","1,000.00",Adam Liaw,Paperback,0733630545, 0733630545, 978-0733630545,https://www.amazon.co.uk/Asian-After-Work-Adam-Liaw/dp/0733630545/ref=sr_1_53?s=books&ie=UTF8&qid=1540596084&sr=1-53&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Le Roman Jusqu'a la Revolution,"3,948,030","1,000.00",Coulet H,Paperback,B004K3ZHZQ,Not available,Not available,https://www.amazon.co.uk/Roman-Jusqua-Revolution-Coulet-H/dp/B004K3ZHZQ/ref=sr_1_52?s=books&ie=UTF8&qid=1540596084&sr=1-52&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Utilitarianism on Liberty; Essay on Bentham; Together with Selected Writings of Jeremy Bentham and John Austin,"3,979,420","1,000.00",Mill J S; Warnock M (ed),Paperback,B0090357DI,Not available,Not available,https://www.amazon.co.uk/Utilitarianism-Liberty-Together-Selected-Writings/dp/B0090357DI/ref=sr_1_51?s=books&ie=UTF8&qid=1540596084&sr=1-51&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
"[ A COMMENTARY ON OVID'S ""FASTI"" BY ROBINSON, MATTHEW](AUTHOR)HARDBACK","3,101,131",999.27,Matthew Robinson,Paperback,B00BNY70Q4,Not available,Not available,https://www.amazon.co.uk/COMMENTARY-ROBINSON-MATTHEW-AUTHOR-HARDBACK/dp/B00BNY70Q4/ref=sr_1_49?s=books&ie=UTF8&qid=1540596084&sr=1-49&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
"GNVQ: Is it for You? - The Guide to General National Vocational Qualifications and General SVQs, the Scottish Equivalent (Hobson's Student Helpbooks)","3,947,008",999.99,Windsor Chorlton,Paperback,186017017X, 186017017X, 978-1860170171,https://www.amazon.co.uk/GNVQ-Vocational-Qualifications-Equivalent-Helpbooks/dp/186017017X/ref=sr_1_47?s=books&ie=UTF8&qid=1540596065&sr=1-47&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Le paysan de Paris,"4,616,382","1,000.00",Aragon.,Paperback,B008M7BCSW,Not available,Not available,https://www.amazon.co.uk/paysan-Paris-Aragon/dp/B008M7BCSW/ref=sr_1_46?s=books&ie=UTF8&qid=1540596065&sr=1-46&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
From Bismarck to Hitler (Problems & Perspectives in History),"1,383,908",999.99,John C. G. Rohl,Paperback,0582313805, 0582313805, 978-0582313804,https://www.amazon.co.uk/Bismarck-Hitler-Problems-Perspectives-History/dp/0582313805/ref=sr_1_45?s=books&ie=UTF8&qid=1540596065&sr=1-45&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Whose City?,"2,619,192","1,000.00",R.E Pahl,Paperback,B003AGBGEU,Not available,Not available,https://www.amazon.co.uk/Whose-City-R-Pahl/dp/B003AGBGEU/ref=sr_1_43?s=books&ie=UTF8&qid=1540596065&sr=1-43&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
My Prayer Book: A: For Men and Boys,"3,795,891","1,000.00",Two Archbishops of Canterbury (Prefatory Notes),Paperback,B01N2BEOIV,Not available,Not available,https://www.amazon.co.uk/My-Prayer-Book-Men-Boys/dp/B01N2BEOIV/ref=sr_1_42?s=books&ie=UTF8&qid=1540596065&sr=1-42&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
God is My Adventure (U.Books),"3,257,342",999.54,Rom Landau,Paperback,0042000068, 0042000068, 978-0042000060,https://www.amazon.co.uk/God-Adventure-U-Books-Rom-Landau/dp/0042000068/ref=sr_1_41?s=books&ie=UTF8&qid=1540596065&sr=1-41&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Group Theory in a Nutshell for Physicists Solutions Manual,"1,855,999","1,000.00",No Author Specified!!,Paperback,0691172781, 0691172781, 978-0691172781,https://www.amazon.co.uk/Theory-Nutshell-Physicists-Solutions-Manual/dp/0691172781/ref=sr_1_40?s=books&ie=UTF8&qid=1540596065&sr=1-40&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Deaf Children and Bilingual Education,"3,699,406","1,000.00","G L, et al Zaitseva",Paperback,5889490176, 5889490176, 978-5889490173,https://www.amazon.co.uk/Deaf-Children-Bilingual-Education-Zaitseva/dp/5889490176/ref=sr_1_39?s=books&ie=UTF8&qid=1540596065&sr=1-39&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Faking it: How to Cook Delicious Food without Really Trying,"2,259,710",999.72,Valli Little,Paperback,0733324274, 0733324274, 978-0733324277,https://www.amazon.co.uk/Faking-Delicious-without-Really-Trying/dp/0733324274/ref=sr_1_38?s=books&ie=UTF8&qid=1540596065&sr=1-38&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Strine: The Complete Works of Professor Afferbeck Lauder,"1,293,660","1,000.00",Afferbeck Lauder,Paperback,1921656808, 1921656808, 978-1921656804,https://www.amazon.co.uk/Strine-Complete-Professor-Afferbeck-Lauder/dp/1921656808/ref=sr_1_36?s=books&ie=UTF8&qid=1540596065&sr=1-36&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Training Module for Moving Loads by Slinging and Lifting,"3,483,092","1,000.00",Engineering & Marine Training Authority,Paperback,1840190922, 1840190922, 978-1840190922,https://www.amazon.co.uk/Training-Module-Moving-Slinging-Lifting/dp/1840190922/ref=sr_1_35?s=books&ie=UTF8&qid=1540596065&sr=1-35&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Protection,"1,827,331","1,000.00",Molly McCloskey,Paperback,1844880702, 1844880702, 978-1844880706,https://www.amazon.co.uk/Protection-Molly-McCloskey/dp/1844880702/ref=sr_1_34?s=books&ie=UTF8&qid=1540596065&sr=1-34&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
"The Anaesthesia Viva: Volume 2, Physics, Clinical Measurement, Safety and Clinical Anaesthesia: Physics, Clinical Measurement, Safety and Clinical Anaesthesia v. 2","1,819,168","1,000.00",Mark Blunt,Paperback,1841101036, 1841101036, 978-1841101033,https://www.amazon.co.uk/Anaesthesia-Viva-Physics-Clinical-Measurement/dp/1841101036/ref=sr_1_33?s=books&ie=UTF8&qid=1540596065&sr=1-33&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Developing Your Employment Skills (Skills Focus Series),"1,747,265","1,000.00",Val Foster,Paperback,0856603082, 0856603082, 978-0856603082,https://www.amazon.co.uk/Developing-Your-Employment-Skills-Focus/dp/0856603082/ref=sr_1_29?s=books&ie=UTF8&qid=1540596046&sr=1-29&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Language Standardization: Studies in Prescriptive Linguists,"3,422,103","1,000.00",P.S. Ray,Paperback,B000GR7AD2,Not available,Not available,https://www.amazon.co.uk/Language-Standardization-Studies-Prescriptive-Linguists/dp/B000GR7AD2/ref=sr_1_28?s=books&ie=UTF8&qid=1540596046&sr=1-28&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Tom Stoppard: An Assessment,"2,687,434","1,000.00",Tim Brassell,Paperback,0333440862, 0333440862, 978-0333440865,https://www.amazon.co.uk/Tom-Stoppard-Assessment-Tim-Brassell/dp/0333440862/ref=sr_1_27?s=books&ie=UTF8&qid=1540596046&sr=1-27&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
P1 Performance Operations - CIMA Practice Exam Kit P1 Performance Operations - CIMA Practice Exam Kit: Operational level paper P1 Operational level paper P1,"1,819,013","1,000.00",Chartered Institute of Management Accountants,Paperback,0857324683, 0857324683, 978-0857324689,https://www.amazon.co.uk/P1-Performance-Operations-Practice-Operational/dp/0857324683/ref=sr_1_23?s=books&ie=UTF8&qid=1540596046&sr=1-23&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
The Amstrad PC 1512/1640 Owner's Handbook: A Practical Guide for Amstrad PC Owners (Heinemann newtech),"2,542,643","1,000.00",Stephen Morris,Paperback,0434913766, 0434913766, 978-0434913763,https://www.amazon.co.uk/Amstrad-1512-1640-Owners-Handbook/dp/0434913766/ref=sr_1_22?s=books&ie=UTF8&qid=1540596046&sr=1-22&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
The Heritage of Symbolism,"1,989,363","1,000.00",C.M. Bowra,Paperback,B001PK8OUC,Not available,Not available,https://www.amazon.co.uk/Heritage-Symbolism-C-M-Bowra/dp/B001PK8OUC/ref=sr_1_21?s=books&ie=UTF8&qid=1540596046&sr=1-21&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
La ilustración insuficiente (Ensayistas),"1,913,356","1,000.00",Eduardo Subirats,Paperback,8430611827, 8430611827, 978-8430611829,https://www.amazon.co.uk/ilustraci%C3%B3n-insuficiente-Ensayistas-Eduardo-Subirats/dp/8430611827/ref=sr_1_19?s=books&ie=UTF8&qid=1540596046&sr=1-19&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Larkin with Poetry: English Association Conference Papers,"1,951,431","1,000.00",James Booth,Paperback,0900232188, 0900232188, 978-0900232183,https://www.amazon.co.uk/Larkin-Poetry-English-Association-Conference/dp/0900232188/ref=sr_1_17?s=books&ie=UTF8&qid=1540596046&sr=1-17&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Ealing Course in Spanish,"1,515,939","1,000.00",P Locke,Paperback,B00803HCJ6,Not available,Not available,https://www.amazon.co.uk/Ealing-Course-Spanish-P-Locke/dp/B00803HCJ6/ref=sr_1_15/258-9751147-9731106?s=books&ie=UTF8&qid=1540596041&sr=1-15&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Getting Down to Writing: A Students' Guide to Overcoming Writer's Block,"1,626,501","1,000.00",Caroline Hall,Paperback,1870167864, 1870167864, 978-1870167864,https://www.amazon.co.uk/Getting-Down-Writing-Students-Overcoming/dp/1870167864/ref=sr_1_13/258-9751147-9731106?s=books&ie=UTF8&qid=1540596041&sr=1-13&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Heinemann English Programme Teacher's Resource File 4 (Higher): Higher (Grades A to D) No.4 (The Heinemann English Programme 1-4),"1,880,037","1,000.00",Mr John Seely,Paperback,0435103342, 0435103342, 978-0435103347,https://www.amazon.co.uk/Heinemann-English-Programme-Teachers-Resource/dp/0435103342/ref=sr_1_12/258-9751147-9731106?s=books&ie=UTF8&qid=1540596041&sr=1-12&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Syllabus and Guidelines for Islamic Teaching,"1,408,418","1,000.00",Ghulam Sarwar,Paperback,0907261078, 0907261078, 978-0907261070,https://www.amazon.co.uk/Syllabus-Guidelines-Islamic-Teaching-Ghulam/dp/0907261078/ref=sr_1_11/258-9751147-9731106?s=books&ie=UTF8&qid=1540596041&sr=1-11&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Zoo Quest to Guyana,"1,247,006","1,000.00",Sir David Attenborough,Paperback,1856952703, 1856952703, 978-1856952705,https://www.amazon.co.uk/Zoo-Quest-Guyana-David-Attenborough/dp/1856952703/ref=sr_1_9/258-9751147-9731106?s=books&ie=UTF8&qid=1540596041&sr=1-9&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
From Beirut to Jerusalem,"1,085,896","1,000.00",Ang Swee Chai,Paperback,9670957087, 9670957087, 978-9670957081,https://www.amazon.co.uk/Beirut-Jerusalem-Ang-Swee-Chai/dp/9670957087/ref=sr_1_8/258-9751147-9731106?s=books&ie=UTF8&qid=1540596041&sr=1-8&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
The fabulous Leonard Jerome (Grey Arrow books),"937,588","1,000.00",Anita Leslie,Paperback,B0000CL8XL,Not available,Not available,https://www.amazon.co.uk/fabulous-Leonard-Jerome-Arrow-books/dp/B0000CL8XL/ref=sr_1_5/258-9751147-9731106?s=books&ie=UTF8&qid=1540596041&sr=1-5&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Special relativity for physicists,"639,993","1,000.00",G Stephenson,Paperback,B007T2YNPU,Not available,Not available,https://www.amazon.co.uk/Special-relativity-physicists-G-Stephenson/dp/B007T2YNPU/ref=sr_1_4/258-9751147-9731106?s=books&ie=UTF8&qid=1540596041&sr=1-4&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
El otro arbol de Guernica (Coleccion Letras EUNSA) (Spanish Edition),"757,302",999.99,Luis de Castresana,Paperback,8487155189, 8487155189, 978-8487155185,https://www.amazon.co.uk/arbol-Guernica-Coleccion-Letras-Spanish/dp/8487155189/ref=sr_1_3/258-9751147-9731106?s=books&ie=UTF8&qid=1540596041&sr=1-3&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Chainsaw Terror,"431,146",999.11,Nick Blake,Paperback,0352314389, 0352314389, 978-0352314383,https://www.amazon.co.uk/Chainsaw-Terror-Nick-Blake/dp/0352314389/ref=sr_1_2/258-9751147-9731106?s=books&ie=UTF8&qid=1540596041&sr=1-2&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
The Divine Conquest,"3,131,922","1,000.00",A W Tozer,Paperback,B000KOAXJ4,Not available,Not available,https://www.amazon.co.uk/Divine-Conquest-W-Tozer/dp/B000KOAXJ4/ref=sr_1_280?s=books&ie=UTF8&qid=1540596321&sr=1-280&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
